lsoa,60plus_perc,females_perc,employment_score,crime_score,outdoor_environment_score,lvl_4plus_perc
E01002832,14.337568058076224,53.3803644914756,0.142,1.058,2.119,45.73213046495489
E01002833,14.180206794682427,52.32876712328767,0.066,1.293,2.29,65.0199203187251
E01002834,14.611546685673556,48.53146853146853,0.041,0.349,2.298,59.84911986588433
E01002835,15.169660678642714,50.41800643086817,0.032,0.325,2.425,67.39622641509435
E01002836,13.816280806572069,47.9136690647482,0.03,-0.024,2.5860000000000003,63.562091503267965
E01002837,16.842105263157894,49.521707137601176,0.015,-0.32,2.131,64.73594548551958
E01002838,10.070671378091873,44.267320662170455,0.012,-0.336,2.2030000000000003,41.39095205941931
E01002839,12.338983050847455,45.089285714285715,0.14300000000000002,0.578,2.5810000000000004,58.25105782792666
E01002840,27.41007194244604,54.51916124367318,0.182,0.795,2.877,33.93782383419689
E01002841,15.59633027522936,49.26900584795322,0.13699999999999998,0.619,2.265,41.18143459915612
E01002842,21.112006446414185,54.668794892258575,0.25,0.222,2.42,24.407826982492274
E01002843,21.632653061224488,55.032467532467535,0.226,0.329,2.37,33.85826771653544
E01002844,26.28939828080229,51.021897810218974,0.047,0.415,2.23,56.97577276524645
E01002845,24.0,49.85272459499264,0.103,0.374,2.624,52.591973244147155
E01002846,11.949685534591195,48.745247148288975,0.168,0.867,2.381,52.18487394957984
E01002847,12.115127175368139,47.654784240150086,0.08900000000000001,1.278,2.144,60.33637000700772
E01002848,13.258575197889185,47.51908396946565,0.14300000000000002,0.28,2.208,54.689754689754686
E01002849,14.854299928926794,47.73770491803278,0.065,0.992,2.364,59.58747135217723
E01002850,12.189781021897812,46.175051688490704,0.121,0.453,2.093,50.5130228887135
E01002851,22.791293213828425,47.74665042630939,0.204,0.684,2.296,42.74139095205942
E01002852,13.502740408570006,52.20125786163522,0.226,0.974,2.044,29.98661311914324
E01002853,18.319169027384323,50.503202195791395,0.257,1.215,2.269,24.296962879640045
E01002854,19.66192170818505,52.54237288135593,0.24,0.994,2.009,26.551724137931032
E01002855,16.198445905558874,49.53703703703704,0.247,0.916,1.983,32.56464011180992
E01002856,12.347826086956523,50.40276179516685,0.171,1.154,2.338,49.08616187989556
E01002857,16.162361623616235,50.630096367679776,0.293,0.952,1.755,21.082621082621085
E01002858,21.12903225806452,55.90111642743222,0.111,-0.473,1.735,44.781445138269405
E01002859,15.874855156431055,48.0958230958231,0.009000000000000001,-0.494,1.95,61.92857142857143
E01002860,20.45016077170418,50.53262316910786,0.009000000000000001,0.204,1.84,63.3693972179289
E01002861,24.698367636621718,50.07022471910111,0.064,0.199,2.06,59.046849757673684
E01002862,21.71052631578948,53.07841866493843,0.138,-0.322,1.884,43.56725146198831
E01002863,20.604026845637588,48.71616932685635,0.011,0.119,2.365,56.88291139240506
E01002864,23.771580345285525,54.93333333333334,0.022,0.732,2.1790000000000003,58.50515463917526
E01002865,17.655571635311144,51.33767172812726,0.012,0.23,2.345,57.660167130919206
E01002866,11.573546180159635,51.66284403669725,0.095,0.489,2.169,55.54789800137836
E01002867,11.664953751284688,51.13579000504795,0.108,0.213,2.264,56.5717746820109
E01002868,24.88860598345003,49.27360774818402,0.015,0.281,2.256,62.70939548434086
E01002869,16.308724832214764,48.97146648971466,0.08,0.482,2.575,62.42138364779875
E01002870,20.454545454545453,51.87590187590187,0.233,-0.006,1.5659999999999998,28.32319721980886
E01002871,18.779904306220093,51.3946587537092,0.023,0.4970000000000001,2.091,62.43617797228301
E01002872,30.869267624914446,53.52697095435685,0.214,0.69,1.743,35.57046979865772
E01002873,19.83218916857361,52.366641622839964,0.102,1.013,2.4090000000000003,57.41583257506826
E01002874,12.81869688385269,51.285615010423896,0.08800000000000001,0.963,2.11,59.31623931623932
E01002875,25.45454545454545,54.25072046109511,0.048,1.18,1.7990000000000002,62.32993197278912
E01002876,20.884955752212385,50.981524249422634,0.113,0.899,2.185,50.534568781183175
E01002877,14.940476190476188,53.80116959064327,0.202,0.787,1.938,29.489164086687307
E01002878,16.27906976744186,52.3634131368938,0.156,1.262,2.375,50.10691375623664
E01002879,17.840982546864897,54.777486910994774,0.187,1.005,2.185,34.122448979591844
E01002880,16.909436352121595,54.41558441558442,0.227,0.25,1.928,25.43640897755611
E01002881,15.13665031534688,51.1444921316166,0.217,0.339,1.6469999999999998,28.886844526218947
E01002882,21.000758150113718,56.22188905547226,0.078,0.8390000000000001,1.984,58.65470852017938
E01002883,22.61835184102864,52.015250544662315,0.04,0.495,2.136,61.107574793125394
E01002884,12.405446293494705,46.614397719173205,0.077,1.203,2.2,57.097541633624104
E01002885,10.335386721423683,48.764629388816644,0.063,0.426,2.089,64.05463695183322
E01002886,17.998610145934673,51.16279069767442,0.037000000000000005,1.087,2.0780000000000003,62.413528055342034
E01002887,14.254703328509407,48.03711634546752,0.024,0.59,2.271,67.84
E01002888,11.72718351324828,45.139557266602495,0.021,0.006,2.09,64.05505558496559
E01002889,17.31225296442688,51.368256450351836,0.034,-0.411,1.834,54.659498207885285
E01002890,20.911214953271028,53.03532008830022,0.012,0.154,1.759,61.632947976878604
E01002891,13.532763532763536,49.170124481327804,0.017,-0.343,2.165,60.08230452674897
E01002892,11.07246376811594,46.69579464773348,0.018000000000000002,-0.459,1.817,60.13941698352345
E01002893,16.182828906732553,48.28169014084507,0.104,0.304,1.634,55.315085932527076
E01002894,11.615384615384615,47.57142857142857,0.123,0.685,2.459,65.66801619433198
E01002895,18.407212622088657,51.3978494623656,0.024,0.49,2.324,63.0
E01002896,15.442452284557547,48.97260273972603,0.015,0.5579999999999999,2.103,65.68166554734721
E01002897,15.5420773313116,50.68493150684932,0.073,0.677,2.06,56.54044750430293
E01002898,19.730941704035875,51.211932877563704,0.018000000000000002,0.153,2.294,57.55228505034856
E01002899,26.158232359230226,50.996309963099634,0.117,0.048,2.001,47.31993299832496
E01002900,23.54972375690608,52.72727272727272,0.014,0.67,2.535,59.70394736842105
E01002901,50.22658610271903,44.08000000000001,0.03,0.477,2.392,46.94419840566874
E01002902,19.47458595088521,50.46948356807511,0.046,-0.402,2.222,58.163934426229524
E01002903,20.886501007387512,50.95836087243887,0.01,0.221,2.039,66.64012738853503
E01002904,13.282571912013536,50.29838022165388,0.282,0.093,1.7080000000000002,20.950323974082075
E01002905,16.25163826998689,54.8469387755102,0.219,1.5530000000000002,2.351,29.56730769230769
E01002906,21.767115272088944,51.397977394408095,0.202,0.425,1.807,32.63688760806917
E01002907,14.88095238095238,53.19767441860465,0.29,0.276,1.7080000000000002,20.887991927346114
E01002908,15.735294117647056,53.41480948957585,0.114,0.747,2.102,44.73684210526316
E01002909,15.410305343511453,52.274837511606314,0.155,0.8190000000000001,2.201,51.06951871657755
E01002910,26.585887384176765,54.7550432276657,0.068,0.093,2.445,51.16279069767442
